"PointID" "long" "lat" "elev" "Edist" "Edist_thresh" "elev_diff" "km" "PointID_biome" "zone" "biome_description"
148878 -121.96 47.75 11 1.32 "under_thresh" 189 25.1252842153249 477348 32 "Cascade-Sierran_Montane_Conifer_Forest"
148517 -122.56 44.4 347 1.32 "under_thresh" -147 350.24224754739 475781 32 "Cascade-Sierran_Montane_Conifer_Forest"
417149 -121.95 49.05 45 1.32 "under_thresh" 155 169.167423064603 1549767 36 "Sitka_Coastal_Conifer_Forest"
148362 -122.93 43.33 733 1.32 "under_thresh" -533 471.977089713603 475170 32 "Cascade-Sierran_Montane_Conifer_Forest"
417166 -122.3 49.11 9 1.32 "under_thresh" 191 176.823274305211 1549833 36 "Sitka_Coastal_Conifer_Forest"
149352 -123.65 43.79 239 1.32 "under_thresh" -39 434.271335872708 479263 31 "Oregonian_Coastal_Conifer_Forest"
149870 -122.96 46.53 159 1.32 "under_thresh" 41 131.530458093118 481295 31 "Oregonian_Coastal_Conifer_Forest"
150071 -122.96 47.31 58 1.32 "under_thresh" 142 73.9843692405229 482070 31 "Oregonian_Coastal_Conifer_Forest"
417216 -121.89 49.2 8 1.32 "under_thresh" 192 186.041288204355 1550028 36 "Sitka_Coastal_Conifer_Forest"
149418 -123.43 44.18 211 1.32 "under_thresh" -11 387.750124228843 479570 31 "Oregonian_Coastal_Conifer_Forest"
149322 -123.74 43.66 229 1.33 "under_thresh" -29 450.17677237476 479165 31 "Oregonian_Coastal_Conifer_Forest"
149831 -122.83 46.36 122 1.33 "under_thresh" 78 143.445690989813 481146 31 "Oregonian_Coastal_Conifer_Forest"
417215 -121.97 49.2 1 1.33 "under_thresh" 199 185.794487692873 1550023 36 "Sitka_Coastal_Conifer_Forest"
165963 -123.42 44.73 71 1.33 "under_thresh" 129 329.08767860926 545518 14 "Oregonian_Deciduous_and_Evergreen_Forests"
149377 -122.91 43.92 222 1.33 "under_thresh" -22 406.943274681809 479380 31 "Oregonian_Coastal_Conifer_Forest"
150082 -122.91 47.35 87 1.33 "under_thresh" 113 68.9941449902729 482117 31 "Oregonian_Coastal_Conifer_Forest"
149879 -122.74 46.57 175 1.33 "under_thresh" 25 119.400786524083 481342 31 "Oregonian_Coastal_Conifer_Forest"
165971 -123.44 44.76 88 1.33 "under_thresh" 112 326.43799151472 545558 14 "Oregonian_Deciduous_and_Evergreen_Forests"
149976 -122.91 47.01 107 1.33 "under_thresh" 93 87.9052869661128 481747 31 "Oregonian_Coastal_Conifer_Forest"
149314 -123.74 43.58 283 1.33 "under_thresh" -83 458.702288326412 479107 31 "Oregonian_Coastal_Conifer_Forest"
166325 -122.71 45.49 275 1.33 "under_thresh" -75 232.584564780832 546919 14 "Oregonian_Deciduous_and_Evergreen_Forests"
149251 -123.91 43.1 229 1.33 "under_thresh" -29 513.760767617629 478832 31 "Oregonian_Coastal_Conifer_Forest"
173781 -123.69 43.44 335 1.33 "under_thresh" -135 472.570186334074 577478 14 "Oregonian_Deciduous_and_Evergreen_Forests"
149439 -123.3 44.27 215 1.33 "under_thresh" -15 375.372475931229 479649 31 "Oregonian_Coastal_Conifer_Forest"
